request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.0,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,"Pay IDR 15,656,000.00 today. This leaves at least IDR 24,768,300 available over the next 90 days."
request_27,2092.96,not_affordable,not_recommended,none,,none,"Do not make this payment by 21 August 2026. None of the available options keeps the ZAR 20,500 minimum protected."
request_28,221.57,not_affordable,not_recommended,none,2024-08-18,none,"Do not make this payment by 15 August 2024. None of the available options keeps the EUR 1,100 minimum protected."
request_29,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 23 November 2025. None of the available options keeps the ZAR 28,300 minimum protected."
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"Use 3 installments of USD 268.74, starting 6 April 2026. This leaves at least USD 900 available over the next 90 days."
request_31,2165686.75,not_affordable,not_recommended,none,2024-11-16,none,"Do not make this payment by 15 November 2024. None of the available options keeps the IDR 16,588,900 minimum protected."
request_32,16547.33,affordable_later,wait,2025-02-15:40018,2025-02-15,none,"Wait until 15 February 2025, then pay ZAR 40,018.00 in full. This leaves at least ZAR 35,700 available over the next 90 days."
request_33,36930.63,affordable_later,wait,2026-03-15:118000,2026-03-15,none,"Wait until 15 March 2026, then pay INR 118,000.00 in full. This leaves at least INR 102,100 available over the next 90 days."
request_34,129400.0,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,"Pay INR 129,400.00 today. This leaves at least INR 138,500 available over the next 90 days."
request_35,26163.81,not_affordable,not_recommended,none,2026-01-16,none,"Do not make this payment by 15 January 2026. None of the available options keeps the INR 106,400 minimum protected."
request_36,427.38,affordable_later,wait,2026-09-13:3954,2026-09-13,none,"Wait until 13 September 2026, then pay USD 3,954.00 in full. This leaves at least USD 2,400 available over the next 90 days."
request_37,3111426.43,not_affordable,not_recommended,none,2024-05-23,none,"Do not make this payment by 15 May 2024. None of the available options keeps the IDR 17,056,200 minimum protected."
request_38,224.62,affordable_later,wait,2025-10-13:971.3,2025-10-13,none,"Wait until 13 October 2025, then pay EUR 971.30 in full. This leaves at least EUR 400 available over the next 90 days."
request_39,112059.84,not_affordable,not_recommended,none,2026-06-16,none,"Do not make this payment by 15 June 2026. None of the available options keeps the INR 213,400 minimum protected."
request_40,405.94,affordable_later,wait,2024-06-14:1290.3,2024-06-14,none,"Wait until 14 June 2024, then pay EUR 1,290.30 in full. This leaves at least EUR 1,500 available over the next 90 days."
request_41,11082445.28,not_affordable,not_recommended,none,2026-01-16,none,"Do not make this payment by 15 January 2026. None of the available options keeps the IDR 25,366,600 minimum protected."
request_42,52100.0,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,"Pay INR 52,100.00 today. This leaves at least INR 113,100 available over the next 90 days."
request_43,9697757.75,affordable_later,wait,2024-09-15:43339000,2024-09-15,none,"Wait until 15 September 2024, then pay IDR 43,339,000.00 in full. This leaves at least IDR 21,398,000 available over the next 90 days."
request_44,28550.56,affordable_later,wait,2025-02-15:95800,2025-02-15,none,"Wait until 15 February 2025, then pay INR 95,800.00 in full. This leaves at least INR 82,900 available over the next 90 days."
request_45,3311399.52,affordable_later,wait,2026-09-13:21983000,2026-09-13,none,"Wait until 13 September 2026, then pay IDR 21,983,000.00 in full. This leaves at least IDR 11,149,800 available over the next 90 days."
request_46,37015.35,affordable_with_plan,partial_payment,2024-12-03:37015.35|2024-12-15:12434.65,2024-12-15,none,"Pay INR 37,015.35 today and the remaining INR 12,434.65 on 15 December 2024. This leaves at least INR 84,000 available over the next 90 days."
request_47,4849284.62,not_affordable,not_recommended,none,,none,"Do not make this payment by 19 June 2025. None of the available options keeps the IDR 30,049,000 minimum protected."
request_48,45700.0,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,"Pay INR 45,700.00 today. This leaves at least INR 71,300 available over the next 90 days."
request_49,11608802.11,not_affordable,not_recommended,none,2024-05-18,none,"Do not make this payment by 22 May 2024. None of the available options keeps the IDR 20,275,700 minimum protected."
request_50,43900.0,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,"Pay INR 43,900.00 today. This leaves at least INR 99,700 available over the next 90 days."
request_51,2191000.0,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,"Pay IDR 2,191,000.00 today. This leaves at least IDR 7,811,000 available over the next 90 days."
request_52,23304.1,affordable_later,wait,2024-06-14:28870,2024-06-14,none,"Wait until 14 June 2024, then pay INR 28,870.00 in full. This leaves at least INR 41,500 available over the next 90 days."
request_53,489.7,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2026-01-13,none,"Use 3 installments of USD 589.06, starting 21 November 2025. This leaves at least USD 2,100 available over the next 90 days."
request_54,2198.44,not_affordable,not_recommended,none,,none,"Do not make this payment by 21 August 2026. None of the available options keeps the ZAR 37,000 minimum protected."
request_55,127979.82,not_affordable,not_recommended,none,2026-08-13,none,"Do not make this payment by 22 August 2026. None of the available options keeps the INR 124,300 minimum protected."
request_56,517.9,affordable_with_plan,partial_payment,2025-02-03:517.9|2025-02-15:363.66,2025-02-15,none,"Pay USD 517.90 today and the remaining USD 363.66 on 15 February 2025. This leaves at least USD 2,100 available over the next 90 days."
request_57,13134.92,affordable_later,wait,2026-06-13:61446,2026-06-13,none,"Wait until 13 June 2026, then pay ZAR 61,446.00 in full. This leaves at least ZAR 42,700 available over the next 90 days."
request_58,16226000.0,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,"Pay IDR 16,226,000.00 today. This leaves at least IDR 14,433,900 available over the next 90 days."
request_59,114686.34,not_affordable,not_recommended,none,,none,"Do not make this payment by 2 July 2025. None of the available options keeps the INR 132,600 minimum protected."
request_60,199.89,affordable_now,full_payment,2026-01-06:199.89,2026-01-06,none,Pay USD 199.89 today. This leaves at least USD 400 available over the next 90 days.
request_61,29062.0,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Use 3 installments of ZAR 10,074.83, starting 17 March 2024. This leaves at least ZAR 36,700 available over the next 90 days."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"Pay USD 404.23 today. This leaves at least USD 1,300 available over the next 90 days."
request_63,45826.54,not_affordable,not_recommended,none,,none,"Do not make this payment by 17 September 2026. None of the available options keeps the INR 153,500 minimum protected."
request_64,42823.19,affordable_with_plan,installments,2024-06-11:22082.67|2024-07-12:22082.67|2024-08-12:22082.67,2024-07-14,none,"Use 3 installments of INR 22,082.67, starting 11 June 2024. This leaves at least INR 36,100 available over the next 90 days."
request_65,6927.85,not_affordable,not_recommended,none,,none,"Do not make this payment by 25 November 2025. None of the available options keeps the ZAR 15,500 minimum protected."
request_66,22200.0,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,"Pay INR 22,200.00 today. This leaves at least INR 80,700 available over the next 90 days."
request_67,242.2,not_affordable,not_recommended,none,2024-11-16,none,"Do not make this payment by 15 November 2024. None of the available options keeps the USD 1,200 minimum protected."
request_68,1341.72,not_affordable,not_recommended,none,2025-03-25,none,"Do not make this payment by 16 April 2025. None of the available options keeps the USD 1,500 minimum protected."
request_69,529.1,affordable_now,full_payment,2026-01-04:529.1,2026-01-04,none,Pay EUR 529.10 today. This leaves at least EUR 700 available over the next 90 days.
request_70,49828.69,not_affordable,not_recommended,none,2025-02-16,none,"Do not make this payment by 15 February 2025. None of the available options keeps the INR 115,000 minimum protected."
request_71,272141.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 28 May 2025. None of the available options keeps the IDR 8,884,800 minimum protected."
